sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1524687	FieldRun1	Endosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524688	FieldRun1	Rhizosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524689	GHRun1	Rhizoplane	Greenhouse Soil		M104	2013-05-06	USA: Arbuckle, California
SRR1524690	FieldRun1	Rhizoplane	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524691	FieldRun1	Endosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524692	FieldRun1	Rhizosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524693	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Arbuckle, California
SRR1524694	FieldRun1	Rhizoplane	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524695	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524696	FieldRun1	Endosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524697	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
SRR1524698	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
SRR1524699	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
SRR1524700	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524701	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524702	FieldRun1	Rhizosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524703	GHRun1	Rhizoplane	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524704	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Arbuckle, California
SRR1524705	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524706	FieldRun1	Rhizoplane	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524707	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524708	FieldRun1	Endosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524709	GHRun1	Rhizoplane	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524710	FieldRun1	Rhizosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524711	GHRun1	Endosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Arbuckle, California
SRR1524712	FieldRun1	Rhizoplane	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524713	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Arbuckle, California
SRR1524714	FieldRun1	Endosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524715	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524716	FieldRun1	Rhizosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524717	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524718	FieldRun1	Rhizoplane	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524719	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Arbuckle, California
SRR1524720	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524721	FieldRun1	Endosphere	Rice Paddy	8		2013-07-08	USA: California, Central Valley
SRR1524722	FieldRun1	Rhizosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524723	FieldRun1	Rhizoplane	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524724	FieldRun1	Endosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524725	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Arbuckle, California
SRR1524726	FieldRun1	Rhizosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524727	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Arbuckle, California
SRR1524728	FieldRun1	Rhizoplane	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524729	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Arbuckle, California
SRR1524730	FieldRun1	Rhizosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524731	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
SRR1524732	FieldRun1	Endosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524733	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
SRR1524734	FieldRun1	Rhizoplane	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524735	GHRun1	Endosphere	Greenhouse Soil		IR50	2013-05-06	USA: Arbuckle, California
