,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
SRR1930850,1.9851438080950612,0.007989653504455447,1.9667899659167511,2.0048410520710176,100,0.4024722779213813,0.038051086154266445,1.9167924257729303
SRR1930851,1.6878951641203455,0.009398917108457094,1.663329591436057,1.7075183249756214,100,0.556842469144426,0.04418873353956432,2.6179785616361717
SRR1930852,1.5355919787324475,0.007981611396249706,1.5152137911686998,1.5527426287481336,100,0.5197742308368997,0.037528837579433816,2.443932900093158
SRR1930853,1.412581873766272,0.007162577799383656,1.3947414846200332,1.4292338194879952,100,0.5070557630961635,0.03449233486796199,2.441793676425806
SRR1930854,2.280586100657589,0.007452933152305363,2.260124614535225,2.300392429819797,100,0.3267990254854385,0.040267815284571906,1.7656783610564406
SRR1930855,2.0444246389596614,0.008114367504415777,2.018456030455044,2.0621741260535638,100,0.3969022555189368,0.04371809559851991,2.138405826529589
SRR1930856,1.941158051082695,0.00969057303434408,1.9119149874592505,1.9647242749957343,100,0.49921607511243576,0.05280928753648384,2.7205042632684693
SRR1930857,1.8120438861511792,0.008717357337244302,1.792738733689926,1.8324143253615737,100,0.48107870917851553,0.03967559167164758,2.189549159094563
SRR1930858,1.7441507348401917,0.00823221281076488,1.728273030545944,1.7642881153998873,100,0.47198975675225446,0.036015084853943335,2.0649066697347824
SRR1930859,1.5012439993410402,0.009626048766875268,1.47409958673735,1.5222263232585744,100,0.6412048122157723,0.048126736521224345,3.2057904339567194
SRR1930860,1.514338007370618,0.010113071778742232,1.4881325684015867,1.5356411135835444,100,0.6678213007611031,0.047508545181957684,3.137248418168406
SRR1930861,1.3892317452208323,0.009914523827695022,1.3643624254583686,1.4111904981188177,100,0.7136695415867429,0.04682807266044908,3.370789130146554
SRR1930862,1.3631707364865762,0.009459454101378238,1.3314408712030703,1.3895208239807846,100,0.6939302501283844,0.05807995277771427,4.260651378668017
SRR1930863,1.2744917833377347,0.008865808714100847,1.255139830964129,1.2965535141528464,100,0.6956348271530164,0.0414136831887173,3.2494272407359146
SRR1930864,1.5664151850328834,0.008046460265854906,1.5442865157310035,1.5829898729086955,100,0.513686303780692,0.03870335717769202,2.470823670984748
SRR1930865,1.8060233563509769,0.011409023356045213,1.7770211871680957,1.8360945496508032,100,0.6317206981806064,0.05907336248270756,3.270908002101576
